q20	q30	Q40	EHFB	E_zpe	B2020	B2030	B3030
1800.0	8000.0	9993.332	-1911.71571	3.152	6.03835e-06	-6.89087e-08	4.55471e-08
1800.0	12000.0	271609.7	-1908.033978	2.733	3.57398e-06	-1.2689e-07	5.29494e-09
1800.0	16000.0	370892.4	-1904.411689	2.859	3.91362e-06	-1.42771e-07	5.84592e-09
1800.0	20000.0	472863.9	-1899.963187	2.699	5.31674e-06	-2.01047e-07	9.44954e-09
1800.0	24000.0	579343.1	-1895.335084	2.873	8.21447e-06	-2.8937e-07	1.08e-08
1800.0	28000.0	662661.4	-1891.091613	2.665	7.77435e-06	-2.65412e-07	9.7528e-09
1800.0	32000.0	773705.1	-1887.52129	2.732	1.18116e-05	-3.77844e-07	1.26562e-08
1800.0	36000.0	962182.1	-1884.770254	2.643	1.11516e-05	-3.70272e-07	1.2736e-08
1800.0	40000.0	1077735.0	-1882.316509	2.784	9.88007e-06	-3.28787e-07	1.13461e-08
1800.0	44000.0	1042191.0	-1883.39262	5.001	5.46708e-06	-1.34646e-07	5.68854e-09
1800.0	48000.0	1158548.0	-1883.323262	5.323	5.29074e-06	-1.3695e-07	5.1547e-09
1800.0	52000.0	1285957.0	-1883.17096	5.629	5.07596e-06	-1.38123e-07	4.96321e-09
2000.0	-0.0	23274.88	-1914.206466	3.003	6.59962e-06	2.1094e-14	4.94559e-08
2000.0	4000.0	21724.15	-1914.100705	3.106	7.02747e-06	-3.09883e-08	4.43612e-08
2000.0	8000.0	20629.97	-1912.411249	3.136	7.51685e-06	-9.89585e-08	4.12367e-08
2000.0	12000.0	284102.2	-1908.80967	3.002	3.13862e-06	-1.08861e-07	4.66125e-09
2000.0	16000.0	379783.1	-1906.517271	2.841	3.55946e-06	-1.24375e-07	5.05669e-09
2000.0	20000.0	479781.7	-1903.143458	2.888	3.89472e-06	-1.42274e-07	5.86505e-09
2000.0	24000.0	605091.0	-1899.054579	2.903	4.61633e-06	-1.65087e-07	6.6463e-09
2000.0	28000.0	713646.0	-1894.687262	3.188	6.93247e-06	-2.42035e-07	8.88958e-09
2000.0	32000.0	822415.0	-1890.389925	2.864	9.32631e-06	-3.1589e-07	1.11341e-08
2000.0	36000.0	963097.3	-1886.763781	3.278	8.26527e-06	-2.81101e-07	9.9521e-09
2000.0	40000.0	1075871.0	-1884.182385	2.886	1.00961e-05	-3.38739e-07	1.17892e-08
2000.0	44000.0	1190452.0	-1881.724779	2.734	1.10879e-05	-3.6854e-07	1.26601e-08
2000.0	48000.0	1304058.0	-1879.699902	2.96	7.98403e-06	-2.70102e-07	9.50585e-09
2000.0	52000.0	1163705.0	-1881.843797	5.569	6.43736e-06	-1.70654e-07	5.99771e-09
2200.0	-0.0	36069.86	-1913.134923	2.796	1.01882e-05	-1.89054e-15	5.28188e-08
2200.0	4000.0	34290.78	-1913.385445	3.078	7.33481e-06	-1.78612e-08	4.47446e-08
