Q20	Q30	M_22	M_32	M_33	EHFB	isInterpolated
68.0	60.0	0.01351	-0.01669	0.03115	-1843.690492	False
72.0	0.0	0.009017	-1.718e-09	0.03222	-1872.260633	False
72.0	4.0	0.008778	-0.003223	0.03449	-1871.252167	False
72.0	8.0	0.009255	-0.006048	0.03988	-1870.360468	False
72.0	12.0	0.01339	-0.008697	0.04804	-1870.639139	False
72.0	16.0	0.00576	-0.003872	0.03775	-1872.066824	False
72.0	20.0	0.04359	-0.0363	0.06061	-1867.827693	False
72.0	24.0	0.0181	-0.02841	0.07493	-1861.728878	False
72.0	28.0	0.01785	-0.00755	0.02385	-1852.047046	False
72.0	32.0	0.01395	-0.02259	0.05476	-1846.207735	False
72.0	36.0	0.01476	-0.02074	0.04564	-1839.805193	False
72.0	40.0	0.01654	-0.02287	0.04746	-1834.732153	False
72.0	44.0	0.01084	-0.006833	0.02334	-1840.73035	False
72.0	48.0	0.01112	-0.00851	0.02528	-1842.492248	False
72.0	52.0	0.01095	-0.01054	0.02569	-1843.464966	False
72.0	56.0	0.0116	-0.01321	0.02753	-1843.393777	False
72.0	60.0	0.01177	-0.01587	0.02828	-1843.17319	False
76.0	0.0	0.009846	-2.017e-08	0.03109	-1873.517241	False
76.0	4.0	0.00879	-0.002682	0.03237	-1872.031347	False
76.0	8.0	0.008518	-0.005389	0.03821	-1869.838433	False
76.0	12.0	0.01067	-0.008621	0.0421	-1870.183417	False
76.0	16.0	0.01752	-0.01368	0.04388	-1871.461274	False
76.0	20.0	0.03262	-0.02106	0.04266	-1869.567386	False
76.0	24.0	0.02062	-0.02668	0.06278	-1864.318676	False
76.0	28.0	0.02074	-0.009721	0.0221	-1853.190044	False
76.0	32.0	0.01348	-0.02092	0.05017	-1848.630498	False
76.0	36.0	0.01371	-0.02038	0.04631	-1842.028602	False
76.0	40.0	0.0155	-0.02128	0.0438	-1836.44998	False
76.0	44.0	0.00953	-0.006355	0.02196	-1839.872659	False
76.0	48.0	0.009807	-0.007922	0.02251	-1841.909722	False
76.0	52.0	0.01012	-0.009787	0.02331	-1843.412436	False
76.0	56.0	0.0103	-0.01122	0.0238	-1844.068327	False
76.0	60.0	0.01079	-0.01227	0.02443	-1843.445526	False
80.0	0.0	0.01032	-5.165e-09	0.02992	-1874.92081	False
80.0	4.0	0.009206	-0.002354	0.03063	-1873.106934	False
80.0	8.0	0.008654	-0.004125	0.0353	-1869.846153	False
80.0	12.0	0.009925	-0.007475	0.03879	-1869.137672	False
80.0	16.0	0.01422	-0.01091	0.04344	-1869.828054	False
80.0	20.0	0.02625	-0.01738	0.03822	-1870.229093	False
80.0	24.0	0.02068	-0.02099	0.04144	-1866.588022	False
80.0	28.0	0.0174	-0.009379	0.02151	-1853.580474	False
80.0	32.0	0.01623	-0.02143	0.04757	-1849.536989	False
80.0	36.0	0.01359	-0.02005	0.04583	-1844.357148	False
80.0	40.0	0.01428	-0.01959	0.04099	-1838.37678	False
80.0	44.0	0.01501	-0.0204	0.04169	-1833.818589	False
80.0	48.0	0.007865	-0.01172	0.02266	-1839.012694	False
80.0	52.0	0.009049	-0.008923	0.0211	-1842.764153	False
80.0	56.0	0.009533	-0.0105	0.02205	-1843.844082	False
80.0	60.0	0.009941	-0.01153	0.02284	-1843.946892	False
84.0	0.0	0.01064	-7.716e-09	0.02881	-1876.334986	False
84.0	4.0	0.009914	-0.002124	0.03003	-1874.260572	False
84.0	8.0	0.009391	-0.003073	0.03185	-1870.29665	False
84.0	12.0	0.009248	-0.006642	0.03528	-1868.448808	False
84.0	16.0	0.009958	-0.01042	0.03903	-1869.160963	False
84.0	20.0	0.02032	-0.0133	0.03531	-1869.764062	False
84.0	24.0	0.009627	-0.01003	0.02945	-1868.126158	False
84.0	28.0	0.01838	-0.02209	0.04919	-1861.870705	False
84.0	32.0	0.01445	-0.02009	0.04583	-1853.854748	False
84.0	36.0	0.01385	-0.01871	0.04192	-1846.80341	False
84.0	40.0	0.01377	-0.01876	0.04015	-1840.567821	False
84.0	44.0	0.009307	-0.00869	0.01344	-1838.39837	False
84.0	48.0	0.01461	-0.01972	0.03962	-1831.824577	False
84.0	52.0	0.007803	-0.01143	0.02136	-1840.446303	False
84.0	56.0	0.0126	-0.0213	0.04206	-1841.793619	False
84.0	60.0	0.01185	-0.0196	0.03787	-1843.459423	False
88.0	0.0	0.01111	-6.468e-09	0.02781	-1877.720216	False
88.0	4.0	0.01102	-0.001677	0.02994	-1875.376018	False
88.0	8.0	0.009862	-0.002863	0.02873	-1871.020099	False
88.0	12.0	0.008142	-0.005879	0.03159	-1868.119578	False
88.0	16.0	0.009528	-0.01002	0.03679	-1867.93326	False
88.0	20.0	0.01743	-0.01194	0.03743	-1868.45393	False
88.0	24.0	0.008504	-0.008502	0.02737	-1868.836141	False
