       Z           N           Q20         Q30         BE              E0            M22           M32           M33
      100.00      156.00       40.00        4.00    -1889.3190        1.0565        0.1673        0.0219        0.1713
      100.00      156.00       40.00        8.00    -1885.3360        1.3293        0.1953       -0.0106        0.1594
      100.00      156.00       40.00       12.00    -1875.6720        0.8495        0.0984       -0.0625        0.6811
      100.00      156.00       40.00       16.00    -1866.5460        0.9753        0.0718       -0.1274        0.5127
      100.00      156.00       40.00       20.00    -1850.5450        1.5723        0.0948       -0.1240        0.2197
      100.00      156.00       40.00       24.00    -1845.8800        1.2708        0.0773       -0.0785        0.2944
      100.00      156.00       40.00       28.00    -1844.8640        0.8853        0.0793       -0.1578        0.4329
      100.00      156.00       40.00       32.00    -1838.8910        0.7576        0.1942       -0.3963        0.9147
      100.00      156.00       40.00       36.00    -1832.7330        0.8248        0.0942       -0.1428        0.3575
      100.00      156.00       40.00       40.00    -1825.6730        0.7402        0.1157       -0.1837        0.4463
      100.00      156.00       40.00       44.00    -1849.1830        2.5917        0.1778       -0.1952        0.2224
      100.00      156.00       40.00       48.00    -1848.3630        2.6110        0.1612       -0.1753        0.2004
      100.00      156.00       40.00       52.00    -1846.3510        1.9559        0.0989       -0.1482        0.2690
      100.00      156.00       40.00       56.00    -1842.2380        0.8728        0.5857       -0.9604        1.6020
      100.00      156.00       40.00       60.00    -1838.9210        0.9301        0.1816       -0.3102        0.5391
      100.00      156.00       44.00        0.00    -1887.2950        1.1364        0.1112        0.0000        0.2312
      100.00      156.00       44.00        4.00    -1887.8470        1.0638        0.1547        0.0468        0.1941
      100.00      156.00       44.00        8.00    -1886.4380        1.3663        0.1623       -0.0166        0.1350
      100.00      156.00       44.00       12.00    -1879.1440        0.8651        0.0947       -0.0082        0.2997
      100.00      156.00       44.00       16.00    -1868.9160        0.9643        0.0844       -0.1864        0.6612
      100.00      156.00       44.00       20.00    -1849.4420        0.9014        0.1351       -0.2037        0.3168
      100.00      156.00       44.00       24.00    -1847.3820        1.1565        0.0574       -0.0411        0.1611
      100.00      156.00       44.00       28.00    -1846.7610        0.8323        0.0858       -0.1443        0.4232
      100.00      156.00       44.00       32.00    -1840.7400        0.8148        0.1438       -0.2651        0.6753
      100.00      156.00       44.00       36.00    -1835.1640        0.7784        0.1677       -0.3089        0.6900
      100.00      156.00       44.00       40.00    -1828.6990        0.8009        0.1388       -0.2456        0.5490
      100.00      156.00       44.00       44.00    -1849.9060        2.6536        0.1465       -0.1557        0.1739
      100.00      156.00       44.00       48.00    -1849.6470        2.5211        0.1819       -0.1997        0.2280
      100.00      156.00       44.00       52.00    -1847.7890        2.6595        0.1254       -0.1796        0.3258
      100.00      156.00       44.00       56.00    -1845.5430        0.8605        0.1814       -0.2900        0.4915
      100.00      156.00       44.00       60.00    -1839.7370        0.9606        0.2080       -0.3553        0.6154
      100.00      156.00       48.00        0.00    -1885.6620        1.0678        0.0965        0.0000        0.1628
      100.00      156.00       48.00        4.00    -1886.1250        1.1026        0.1029       -0.0235        0.1698
      100.00      156.00       48.00        8.00    -1886.6850        1.3933        0.1291       -0.0444        0.1147
      100.00      156.00       48.00       12.00    -1882.0230        0.9865        0.1050       -0.0368        0.2138
      100.00      156.00       48.00       16.00    -1871.5760        0.9937        0.0764       -0.1491        0.5616
      100.00      156.00       48.00       20.00    -1862.1130        0.8324        0.0778       -0.0946        0.3875
      100.00      156.00       48.00       24.00    -1849.4610        1.0822        0.0659       -0.0748        0.2241
      100.00      156.00       48.00       28.00    -1848.3040        0.7581        0.1092       -0.1799        0.4830
      100.00      156.00       48.00       32.00    -1842.5910        0.8815        0.0811       -0.1081        0.3555
      100.00      156.00       48.00       36.00    -1837.4960        0.7747        0.2129       -0.3718        0.8691
      100.00      156.00       48.00       40.00    -1831.6590        0.8333        0.1031       -0.1635        0.3616
      100.00      156.00       48.00       44.00    -1849.9310        2.7745        0.1092       -0.1100        0.1193
      100.00      156.00       48.00       48.00    -1844.3440        1.0556        0.1166       -0.2047        0.3701
      100.00      156.00       48.00       52.00    -1849.3410        2.3282        0.1730       -0.1920        0.2257
      100.00      156.00       48.00       56.00    -1846.8930        0.8753        0.0788       -0.1243        0.2184
