destinationFile	isConverged	Q1	Q20	Q30	Q40	q5	q6	q7	q8	M_22	M_32	M_33	EHFB	sourceFile	expected_Z	expected_N	expected_q20	expected_q30	bet2	bet3	filter_maxDeltaE	filter_bluff	isCorrect
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000008.hel	False	0.006904	329.99403	4.004171	106.147111	8.632278	101.10816	12.477484	92.362424	0.001822	-0.0001986	0.005973	-1887.971549	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000007.hel	100	154	330.0	4.0	2.972	0.056	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000009.hel	False	0.86541	93.853422	19.962816	19.073515	44.679513	19.258276	9.567359	63.966909	0.007301	0.003181	0.01742	-1651.152573	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000005.hel	100	154	94.0	20.0	0.847	0.28	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000010.hel	False	0.000669	330.01029	2.009249	105.906092	4.33215	100.412277	6.240509	90.951167	0.001817	-9.836e-05	0.005961	-1887.806297	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000008.hel	100	154	330.0	2.0	2.972	0.028	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000011.hel	True	0.000198	329.998864	0.000468	497.804628	101.144631	2149.788986	846.610197	8908.954498	0.0003371	2.767e-05	0.0006156	-1855.489081	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000009.hel	100	154	330.0	0.0	2.972	0.0	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000012.hel	True	0.00132	328.005177	20.000101	105.840834	42.429091	105.583858	62.231805	106.778097	0.002569	-0.001227	0.006407	-1893.295687	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000010.hel	100	154	328.0	20.0	2.954	0.28	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000013.hel	False	0.06423	327.990547	12.023897	103.507695	25.019886	97.564247	35.004184	89.621611	0.002013	-0.0005814	0.006104	-1890.209591	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000011.hel	100	154	328.0	12.0	2.954	0.168	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000014.hel	False	0.130062	327.991861	10.050883	104.604194	21.234344	99.464097	30.227352	91.688556	0.001935	-0.0005077	0.006158	-1889.20407	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000012.hel	100	154	328.0	10.0	2.954	0.14	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000015.hel	False	0.079109	327.986592	7.959493	105.640799	17.147748	101.44579	24.892029	94.389785	0.001836	-0.0003907	0.006006	-1888.470325	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000014.hel	100	154	328.0	8.0	2.954	0.112	False	True	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000016.hel	True	0.000942	100.00158	21.99904	51.696289	97.604357	202.088895	411.547961	836.940359	0.008002	-0.00706	0.02361	-1850.641568	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_003/p154_100_000014.hel	100	154	100.0	22.0	0.901	0.308	True	False	False
Z_100-N_154/q40_unconstrained_fine/7_pass/chunk_002/p154_100_000017.hel	False	0.012441	327.981999	6.000355	104.863082	12.832444	99.443723	18.400791	90.724937	0.001864	-0.0003164	0.006077	-1888.14256	Z_100-N_154/q40_unconstrained_fine/6_pass/chunk_002/p154_100_000017.hel	100	154	328.0	6.0	2.954	0.084	False	True	False
