Q20	Q30	Q40	M_22	M_32	M_33	M_42	M_43	M_44	EHFB
0.0	20.0	0.0	0.01987	0.03586	0.4999	0.005649	0.0659	0.07575	67.04832299999998
0.0	20.0	8.0	0.04696	0.08559	0.5931	0.006285	0.1359	0.09499	46.54975399999989
0.0	20.0	16.0	0.06531	0.08609	0.4223	0.0227	0.1056	0.09943	47.476158999999825
0.0	20.0	24.0	0.02774	0.04171	0.1586	0.005328	0.04005	0.03732	48.42379499999993
0.0	20.0	32.0	0.05364	0.06382	0.2322	0.02389	0.04893	0.07347	54.11896899999988
0.0	20.0	40.0	0.06812	0.02683	0.215	0.04299	0.03779	0.1276	70.6336839999999
0.0	20.0	48.0	0.1113	0.03754	0.0293	0.107	0.04111	0.1091	80.3630639999999
0.0	20.0	56.0	0.05589	0.009561	0.1141	0.04329	0.01048	0.07858	90.9296159999999
0.0	20.0	64.0	0.05736	0.003287	0.03204	0.0738	0.004169	0.1091	107.97383300000001
0.0	20.0	72.0	0.03287	0.001364	0.02051	0.04177	0.004472	0.06246	127.33630499999981
0.0	20.0	80.0	0.04613	0.003486	0.02036	0.06142	0.006907	0.09153	141.01831199999992
0.0	20.0	88.0	0.0399	0.003432	0.02115	0.05101	0.007635	0.07462	152.80275099999994
0.0	20.0	96.0	0.03542	0.003622	0.02399	0.04439	0.007426	0.06615	169.71929999999998
0.0	20.0	104.0	0.03688	0.003885	0.0295	0.04775	0.003899	0.07536	190.2065
0.0	20.0	112.0	0.06643334611906568	0.023864894249168316	0.04380184797679466	0.06814802931356176	0.02131651379031108	0.0851426710745604	195.01551053570142
0.0	20.0	120.0	0.03844322739263499	0.0029949038703370144	0.032075934893273164	0.04618194656819427	0.005467980399761991	0.070293768000951	203.0010848407635
0.0	20.0	128.0	0.02907	0.001495	0.0299	0.03745	0.004098	0.06224	211.84544399999982
0.0	20.0	136.0	0.03233	0.0002648	0.03221	0.04107	0.003661	0.0675	216.4308669999998
0.0	20.0	144.0	0.03967	0.001658	0.03484	0.05024	0.002633	0.08145	222.35700599999996
0.0	20.0	152.0	0.06987	0.00923	0.03896	0.08825	0.007219	0.1304	229.06543299999998
0.0	20.0	160.0	0.02608	0.00165	0.03967	0.02747	0.001778	0.04664	237.256306
0.0	20.0	168.0	0.02952	0.003027	0.03466	0.03478	0.006073	0.05801	247.28379499999983
0.0	20.0	176.0	0.02381	0.0009048	0.04679	0.02592	0.0005178	0.05202	257.8893499999999
0.0	20.0	184.0	0.01779	0.005773	0.03196	0.01567	0.002025	0.0282	268.08678499999996
0.0	20.0	192.0	0.01482	0.002912	0.04374	0.0138	0.001895	0.03267	277.80310899999995
0.0	20.0	200.0	0.0155	0.0001188	0.03468	0.01699	0.0008261	0.03522	286.94048
0.0	24.0	0.0	0.0199	0.03084	0.4661	0.007157	0.04732	0.05745	91.17088599999988
0.0	24.0	8.0	0.0268	0.04478	0.3609	0.003068	0.0512	0.07322	66.99816699999997
0.0	24.0	16.0	0.04463	0.07694	0.4103	0.002885	0.1061	0.07435	56.6508359999998
0.0	24.0	24.0	0.06687	0.07935	0.293	0.01219	0.06237	0.05115	56.11292800000001
0.0	24.0	32.0	0.06121	0.05434	0.1763	0.01418	0.05482	0.04433	49.972781999999825
0.0	24.0	40.0	0.06878	0.01263	0.1205	0.04234	0.05231	0.06231	61.70332799999983
0.0	24.0	48.0	0.07268	0.002982	0.03989	0.08783	0.01424	0.1226	81.0344849999999
0.0	24.0	56.0	0.08295	0.01431	0.03275	0.1004	0.02017	0.1342	90.91762699999981
0.0	24.0	64.0	0.05247	0.009867	0.04624	0.06446	0.001043	0.09955	106.13532199999986
0.0	24.0	72.0	0.02627	0.001543	0.03408	0.03178	0.0005583	0.05047	125.73869799999989
0.0	24.0	80.0	0.05053	0.003732	0.0199	0.06775	0.008174	0.1005	140.9955829999999
0.0	24.0	88.0	0.04176	0.003087	0.02958	0.05442	0.005892	0.08148	154.7357129999998
0.0	24.0	96.0	0.02882	0.002559	0.02162	0.03545	0.006477	0.0531	171.1869039999999
0.0	24.0	104.0	0.03794	0.002616	0.02965	0.04818	0.006776	0.07446	191.01392099999998
0.0	24.0	112.0	0.09826	0.05052	0.05799	0.09023	0.04631	0.0951	197.31030699999997
0.0	24.0	120.0	0.03367	0.001009	0.04223	0.04051	0.002884	0.06839	204.11805299999992
0.0	24.0	128.0	0.02856	0.002899	0.03085	0.03623	0.002296	0.06034	211.99453999999992
0.0	24.0	136.0	0.04141	0.0009303	0.02518	0.05527	0.0009379	0.08614	216.60035199999993
0.0	24.0	144.0	0.04346	0.0005801	0.02982	0.05679	0.0006034	0.08881	222.35039199999983
0.0	24.0	152.0	0.07052	0.002617	0.03836	0.09318	0.004382	0.1424	229.8172149999998
0.0	24.0	160.0	0.02298	0.00282	0.04635	0.02183	0.003705	0.04028	237.98259499999995
0.0	24.0	168.0	0.02949	0.002417	0.04263	0.03319	0.007354	0.05767	247.4319019999998
0.0	24.0	176.0	0.02537	0.00301	0.05151	0.02417	0.0004278	0.04924	257.6300739999999
0.0	24.0	184.0	0.0172	0.003171	0.05036	0.01437	0.0004871	0.03672	268.0482589999999
0.0	24.0	192.0	-0.004473610676623052	0.0027059496940208924	0.04210070597317875	-0.009028893741120713	0.0024153953060000637	0.004852854809519275	246.26067102369143
0.0	24.0	200.0	0.0157	0.0009946	0.03222	0.01818	0.0003312	0.03697	287.7467879999999
0.0	28.0	0.0	0.03384	0.06372	0.419	0.01242	0.01639	0.04767	115.4039049999999
0.0	28.0	8.0	0.02635	0.05259	0.3379	0.003276	0.06157	0.05956	87.06718799999999
0.0	28.0	16.0	0.04052	0.07741	0.4335	0.002194	0.1134	0.07466	71.85453899999993
0.0	28.0	24.0	0.05691	0.08914	0.4486	0.005046	0.1085	0.0599	66.8088009999999
0.0	28.0	32.0	0.06142	0.07188	0.2457	0.004451	0.0788	0.0495	55.80272799999989
0.0	28.0	40.0	0.1257	0.1159	0.3106	0.05224	0.03012	0.06848	57.08926199999996
0.0	28.0	48.0	0.03174	0.004261	0.05934	0.03613	0.01175	0.06668	77.29478299999982
0.0	28.0	56.0	0.06647	0.01027	0.02496	0.08301	0.01541	0.1137	92.29368999999997
0.0	28.0	64.0	0.06731	0.01799	0.03571	0.08085	0.01564	0.1128	105.06639799999994
0.0	28.0	72.0	0.03703	0.004592	0.02824	0.04481	0.002383	0.06851	122.59714699999995
0.0	28.0	80.0	0.0507	0.004799	0.02159	0.06766	0.009199	0.101	139.957805
0.0	28.0	88.0	0.03967	0.002738	0.02065	0.05159	0.007192	0.07711	155.3052459999999
0.0	28.0	96.0	0.02826	0.001482	0.02222	0.03378	0.005116	0.05206	172.9916639999999
0.0	28.0	104.0	0.04074	0.001176	0.02696	0.04974	0.007353	0.07286	191.00487599999997
0.0	28.0	112.0	0.04626	0.03077	0.04757	0.03563	0.03361	0.03704	194.132652
0.0	28.0	120.0	0.03479	0.01462	0.05721	0.03509	0.0006341	0.05881	203.6697489999999
0.0	28.0	128.0	0.03471	0.001789	0.02691	0.04497	0.0005086	0.07115	211.32590699999992
0.0	28.0	136.0	0.0261	0.002756	0.02675	0.03216	0.000101	0.05204	216.85723799999982
0.0	28.0	144.0	0.0474	0.002549	0.03474	0.063	0.003974	0.1004	223.1089539999998
0.0	28.0	152.0	0.0638	0.002595	0.04333	0.08659	0.0117	0.1387	230.36809099999982
0.0	28.0	160.0	0.02204	6.615e-05	0.05104	0.01981	0.004557	0.03924	238.72787799999992
0.0	28.0	168.0	0.03236	0.002975	0.05488	0.03024	0.005608	0.05293	247.70551699999987
0.0	28.0	176.0	0.02689	0.005219	0.04822	0.02455	0.004501	0.04407	257.54086399999983
0.0	28.0	184.0	0.01631	0.0008039	0.0476	0.0151	0.0007736	0.03789	268.3899819999999
0.0	28.0	192.0	-0.010558314832785447	0.0015004480513004807	0.0379887976060312	-0.015921453253384926	0.0018197585715611264	-0.004009568772096801	265.0782927478533
0.0	28.0	200.0	0.016785836037016118	0.0016592653301635597	0.026636952806549548	0.01994000825971325	0.002839890572837212	0.037155278668724874	292.6194056843649
0.0	32.0	0.0	0.01483	0.01745	0.2025	0.003915	0.003543	0.03643	139.9402
0.0	32.0	8.0	0.01869	0.03319	0.2851	0.0007543	0.05708	0.04614	108.50234099999989
0.0	32.0	16.0	0.03957	0.08521	0.3923	0.001238	0.06527	0.04808	88.13083399999982
0.0	32.0	24.0	0.0504	0.07903	0.3659	0.007663	0.07897	0.05161	77.36260799999991
0.0	32.0	32.0	0.06308	0.1299	0.3878	0.00115	0.05441	0.03618	68.36196799999993
0.0	32.0	40.0	0.09528	0.1729	0.4207	0.01627	0.02461	0.05028	59.972912999999835
0.0	32.0	48.0	0.03774	0.05107	0.1978	0.01389	0.0494	0.06253	70.62770599999999
0.0	32.0	56.0	0.06679	0.01084	0.02856	0.0848	0.01211	0.1204	91.28650099999982
